OBJECTID,ZIPCODE,PO_NAME,POPULATION,AREA,COUNTY,CountBusinesses,Shape_Length,Shape_Area
112,10036,New York,23543.000000000000000,11395110.509594999253750,New York,11,16418.606587219772337,11395109.933964205905795
113,11693,Far Rockaway,11052.000000000000000,3497515.779743299819529,Kings,1,9479.917567290078296,3497516.007205184083432
114,11249,Brooklyn,28481.000000000000000,17772206.170120198279619,Kings,18,31156.199559836135450,17772206.088040024042130
115,11436,Jamaica,18681.000000000000000,22699295.459414500743151,Queens,,20579.416235101591155,22699295.751892589032650
116,11219,Brooklyn,92561.000000000000000,42002738.467230401933193,Kings,,29464.196221179241547,42002737.900758698582649
117,11204,Brooklyn,77354.000000000000000,43555184.613284997642040,Kings,,30324.567826122292900,43555184.712645724415779
118,10471,Bronx,23477.000000000000000,89651407.058349907398224,Bronx,,53208.969317357055843,89651406.620053499937057
119,10470,Bronx,14740.000000000000000,21543461.581388000398874,Bronx,,32648.904183028713305,21543461.260581322014332
120,10466,Bronx,68942.000000000000000,55262490.612459696829319,Bronx,,35358.303202032613626,55262490.687403149902821
121,10475,Bronx,40931.000000000000000,38633296.934543602168560,Bronx,,45027.655549151066225,38633297.106501623988152
122,10469,Bronx,65101.000000000000000,68040887.068350195884705,Bronx,,34900.725750028548646,68040887.626479774713516
123,10468,Bronx,72877.000000000000000,34447604.672218300402164,Bronx,,37082.720793837404926,34447604.877394132316113
124,10453,Bronx,77576.000000000000000,25748509.271674301475286,Bronx,,26398.779857021381758,25748509.882139097899199
125,10460,Bronx,56670.000000000000000,35155666.646014899015427,Bronx,,41386.404400847794022,35155666.600846625864506
126,10456,Bronx,89390.000000000000000,29933452.436348501592875,Bronx,,30925.044084595028835,29933451.940196372568607
127,10472,Bronx,66356.000000000000000,30963245.188328299671412,Bronx,,27006.042891333559965,30963245.296065300703049
128,10459,Bronx,46804.000000000000000,22551940.537244398146868,Bronx,,24993.629962698283634,22551940.566582128405571
129,10451,Bronx,44140.000000000000000,28944106.516878399997950,Bronx,,32573.914676358952420,28944106.325572043657303
130,10474,Bronx,12281.000000000000000,40614090.190227501094341,Bronx,,30197.003811084810877,40614090.668392449617386
131,10455,Bronx,39834.000000000000000,19846918.841455798596144,Bronx,,26037.937656621659698,19846918.739147834479809
132,10037,New York,16931.000000000000000,7188980.953428209759295,New York,,12511.895330582485258,7188980.987170587293804
133,10048,New York,0.000000000000000,972788.423974290024489,New York,,4033.602290648912458,972788.360210923245177
134,00083,Central Park,25.000000000000000,38300990.399943001568317,New York,,32710.772659517544525,38300990.571123123168945
135,11356,College Point,23379.000000000000000,43321159.272031001746655,Queens,,39905.994507689385500,43321158.963694930076599
136,11359,Bayside,0.000000000000000,6567982.085341970436275,Queens,,12841.614344499961589,6567981.495750467292964
137,11360,Bayside,18973.000000000000000,38834824.171341396868229,Queens,,31490.880869159842405,38834824.647470705211163
138,11363,Little Neck,7060.000000000000000,24242790.023497499525547,Queens,,27323.238897637675109,24242790.319975201040506
